0,XP001401007,371,
1,YHR096C,592,SPBC4B4.08,531,1e-117,43,85,558,
3,YDR365C,628,SPFWH223.01,720,1e-102,39,11,616,SPBC1734.01c,682,2e-97,37,11,588,SPACFJBR454.09C,469,5e-25,25,135,370,
0,YPR184W,1536,
1,YDL022W,391,SPBC215.05,385,1e-94,47,22,386,
1,YOL115W,584,SPAC12G12.13c,684,1e-74,42,139,463,
0,XP001270596,333,
0,YMR041C,335,
1,YMR140W,489,SPBC25B2.03,554,1e-38,28,90,473,
1,YHR066W,453,SPAC1B9.03c,389,1e-77,39,1,435,
1,YKR070W,352,SPAC22A12.08c,570,2e-63,38,14,351,
0,XP642263,657,
1,YJR072C,385,SPBC119.15,367,1e-109,55,6,335,
1,YJR140C,1648,SPBC31F10.14c,1630,1e-41,25,912,1489,
1,YOR299W,746,SPBC31F10.16,679,4e-77,29,7,730,
1,YMR162C,1656,SPAC821.13c,1562,1e-171,22,188,228,
1,YIR022W,167,SPBC1685.03,189,1e-36,40,1,154,
1,YGR246C,596,SPBC13E7.10c,500,3e-84,31,474,595,
1,YNL293W,633,SPCC4G3.09c,635,3e-95,42,151,557,
1,YDL001W,430,SPCC16C4.01,446,1e-116,54,66,425,
1,YHL040C,627,SPBC4F6.09,612,4e-64,31,22,601,
1,YJL008C,568,SPBC337.05c,546,1e-166,53,1,547,
1,YDL074C,700,SPCC970.10c,680,4e-31,26,122,700,
